[20190228_134909 / views.py:10271]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_134908.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190228_134909 / views.py:10280]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_1S
299	2019.01.28 20:15	2019.01.28 20:30	124.943	124.973	124.970
300	2019.01.28 21:30	2019.01.28 21:45	124.960	124.969	124.973
301	2019.01.28 21:45	2019.01.28 22:00	124.969	124.996	124.973
302	2019.01.25 01:00	2019.01.25 01:15	123.828	123.833	123.949
303	2019.01.25 01:15	2019.01.25 01:30	123.833	123.880	123.949
304	2019.01.25 01:30	2019.01.25 01:45	123.880	123.980	123.948
305	2019.01.25 01:45	2019.01.25 02:00	123.980	124.046	123.952
306	2019.01.25 02:00	2019.01.25 02:15	124.046	124.055	123.969
307	2019.01.25 03:15	2019.01.25 03:30	124.046	124.056	124.020
308	2019.01.25 03:30	2019.01.25 03:45	124.056	124.087	124.032
309	2019.01.25 03:45	2019.01.25 04:00	124.087	124.140	124.044
310	2019.01.25 04:00	2019.01.25 04:15	124.140	124.168	124.062
311	2019.01.25 04:15	2019.01.25 04:30	124.168	124.210	124.082
312	2019.01.25 05:00	2019.01.25 05:15	124.195	124.213	124.145
313	2019.01.25 05:15	2019.01.25 05:30	124.213	124.345	124.164
314	2019.01.25 07:00	2019.01.25 07:15	124.273	124.321	124.290
315	2019.01.25 08:15	2019.01.25 08:30	124.333	124.338	124.331
316	2019.01.25 08:30	2019.01.25 08:45	124.338	124.363	124.335
317	2019.01.25 10:15	2019.01.25 10:30	124.378	124.445	124.355
318	2019.01.25 10:30	2019.01.25 10:45	124.445	124.464	124.369
319	2019.01.25 13:15	2019.01.25 13:30	124.535	124.540	124.474
320	2019.01.25 13:30	2019.01.25 13:45	124.540	124.594	124.489
321	2019.01.25 13:45	2019.01.25 14:00	124.594	124.597	124.509
322	2019.01.25 14:00	2019.01.25 14:15	124.597	124.645	124.528
323	2019.01.25 14:45	2019.01.25 15:00	124.618	124.717	124.580
324	2019.01.25 15:00	2019.01.25 15:15	124.717	124.733	124.599
325	2019.01.25 15:15	2019.01.25 15:30	124.733	124.801	124.625
326	2019.01.25 15:30	2019.01.25 15:45	124.801	124.813	124.657
327	2019.01.25 15:45	2019.01.25 16:00	124.813	124.844	124.687
328	2019.01.25 16:00	2019.01.25 16:15	124.844	124.861	124.719
329	2019.01.25 17:00	2019.01.25 17:15	124.800	124.989	124.788
330	2019.01.25 17:15	2019.01.25 17:30	124.989	125.041	124.826
331	2019.01.25 19:15	2019.01.25 19:30	125.220	125.243	125.040
332	2019.01.25 20:15	2019.01.25 20:30	125.205	125.215	125.148
333	2019.01.25 21:30	2019.01.25 21:45	125.078	125.136	125.204
334	2019.01.24 01:00	2019.01.24 01:15	124.698	124.698	124.765
335	2019.01.24 03:00	2019.01.24 03:15	124.738	124.746	124.763
336	2019.01.24 04:15	2019.01.24 04:30	124.676	124.701	124.751
337	2019.01.24 04:30	2019.01.24 04:45	124.701	124.706	124.749
