[20190307_154009 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_154009 / views.py:11613]
233	2018.04.12 00:00	2018.04.12 23:00	24	6	8	8	1	0.250	0.333	0.333	0.042
234	2018.04.11 00:00	2018.04.11 23:00	24	2	7	7	7	0.083	0.292	0.292	0.292
235	2018.04.10 00:00	2018.04.10 23:00	24	6	8	8	1	0.250	0.333	0.333	0.042
236	2018.04.09 00:00	2018.04.09 23:00	24	8	4	5	6	0.333	0.167	0.208	0.250
237	2018.04.06 00:00	2018.04.06 23:00	24	6	8	8	1	0.250	0.333	0.333	0.042
238	2018.04.05 00:00	2018.04.05 23:00	24	10	5	4	4	0.417	0.208	0.167	0.167
239	2018.04.04 00:00	2018.04.04 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
240	2018.04.03 00:00	2018.04.03 23:00	24	11	4	5	3	0.458	0.167	0.208	0.125
241	2018.04.02 00:00	2018.04.02 23:00	24	5	7	6	5	0.208	0.292	0.250	0.208
242	2018.03.30 00:00	2018.03.30 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
243	2018.03.29 00:00	2018.03.29 23:00	24	5	6	7	5	0.208	0.250	0.292	0.208
244	2018.03.28 00:00	2018.03.28 23:00	24	11	5	4	3	0.458	0.208	0.167	0.125
